Product_ID,Product_Name,Category,Brand,Price
P025,Dlink WiFi Router AC1200,Electronics,Dlink,2499.0
P004,Redmi Note 13 Pro,Electronics,Xiaomi,24999.0
P018,iPad Air 5th Generation,Electronics,Apple,59900.0
P039,Wildcraft Backpack 30L,Fashion,Wildcraft,2299.0
P009,Asus VivoBook 15,Electronics,Asus,44999.0
P085,Godrej Interio Wardrobe 3 Door,Furniture,Godrej,34999.0
P007,HP Pavilion 14 Laptop,Electronics,HP,54999.0
P071,Rich Dad Poor Dad by Robert Kiyosaki,Books,Simon & Schuster,499.0
P095,Britannia Good Day Cookies 400g,Groceries,Britannia,129.0
P033,H&M Floral Kurta,Fashion,H&M,1299.0
P055,Biotique Bio Honey Gel Facewash,Beauty,Biotique,299.0
P051,Lakme 9to5 Foundation,Beauty,Lakme,699.0
P074,Zero to One by Peter Thiel,Books,Virgin Books,399.0
P047,Cello Opalware Dinner Set,Home & Kitchen,Cello,2499.0
P098,Surf Excel Matic Liquid 2L,Groceries,Surf Excel,599.0
P062,DSC Cricket Bat Kashmir Willow,Sports,DSC,1799.0
P105,Yonex Badminton Racquet,Unknown Category,Yonex,2499.0
P086,Green Soul Ergonomic Office Chair,Furniture,Green Soul,12999.0
P042,Philips Air Fryer XXL,Home & Kitchen,Philips,9999.0
P059,Clinique Moisture Surge Moisturiser,Beauty,Clinique,3499.0
P049,Samsung 7Kg Washing Machine,Home & Kitchen,Samsung,31999.0
P094,Bru Gold Coffee 200g,Groceries,Bru,399.0
P058,Himalaya Herbals Face Cream,Beauty,Himalaya,199.0
P076,Think and Grow Rich by Napoleon Hill,Books,Fingerprint,299.0
P033,H&M Floral Kurta,Fashion,H&M,1299.0
,Nykaa Cosmetics Lip Liner,Beauty,Nykaa,299.0
P060,Forest Essentials Facial Cleanser,Beauty,Forest Essentials,1295.0
P064,Nivia Basketball,Sports,Nivia,1299.0
P092,Amul Butter 500g,Groceries,Amul,275.0
P038,Fastrack Sports Watch,Fashion,Fastrack,1995.0
P030,Nike Air Max 270 Sneakers,Fashion,Nike,9999.0
P097,Dettol Handwash Liquid 500ml,Groceries,Dettol,179.0
P002,Apple iPhone 15 Pro,Electronics,Apple,134999.0
P053,Maybelline Fit Me Foundation,Beauty,Maybelline,499.0
P022,Epson EcoTank Printer,Electronics,Epson,12999.0
P003,OnePlus 12R,Electronics,OnePlus,39999.0
P024,SanDisk 512GB USB Drive,Electronics,SanDisk,2499.0
P088,Wooden Street King Size Bed,Furniture,Wooden Street,28999.0
P083,Ikea Kallax Shelf Unit,Furniture,Ikea,7999.0
P075,Deep Work by Cal Newport,Books,Piatkus,399.0
P087,Durian Recliner Sofa Chair,Furniture,Durian,29999.0
P083,Ikea Kallax Shelf Unit,Furniture,Ikea,7999.0
P021,HP LaserJet Printer,Electronics,HP,14999.0
P061,Yonex Badminton Racquet,Sports,Yonex,2499.0
P072,Atomic Habits by James Clear,Books,Penguin,499.0
P015,JBL Charge 5 Speaker,Electronics,JBL,14999.0
P093,Nestle Maggi 12 Pack,Groceries,Nestle,299.0
P052,Nykaa Cosmetics Lip Liner,Beauty,Nykaa,299.0
P103,,Electronics,Lenovo,47999.0
